,Company,Ticker,Exchange,Currency
2,2MX ORGANIC,2MX.PA,Euronext Paris,EUR
726,LISI,FII.PA,Euronext Paris,EUR
31,ADOCIA,ADOC.PA,Euronext Paris,EUR
466,FIN.ETANG BERRE,BERR.PA,Euronext Paris,EUR
1119,TECH BSA 2024,TECBS.PA,Euronext Paris,EUR
922,PCAS,PCA.PA,Euronext Paris,EUR
1034,SAVENCIA,SAVE.PA,Euronext Paris,EUR
423,EURAZEO,RF.PA,Euronext Paris,EUR
592,Holcim Ltd,HOLN.PA,Euronext Paris,EUR
33,ADP,ADP.PA,Euronext Paris,EUR
787,MERSEN,MRN.PA,Euronext Paris,EUR
553,GROUPE JAJ,GJAJ.PA,Euronext Paris,EUR
964,PRODWAYS,PWG.PA,Euronext Paris,EUR
836,NEOEN,NEOEN.PA,Euronext Paris,EUR
188,BOLLORE,BOL.PA,Euronext Paris,EUR
71,ALTAMIR,LTA.PA,Euronext Paris,EUR
